Aula,Estado,Tema,Subtema,Descrição,Tópicos
#001,Completa,Cosmos,O que é o Espaço? Uma Viagem aos Ingredientes do Universo,"Análise dos fundamentos: o que é o espaço (um vácuo quase total), os materiais que o compõem (matéria normal e escura), e os ""objetos"" celestes que nele habitam (estrelas, galáxias, etc.).","• A natureza do espaço
• O espaço é um vácuo
• Materiais que constituem o Espaço
• Alguns ""objetos"" que podemos encontrar"
#002,Completa,Cosmos,A Nossa Morada Cósmica: A Terra no Sistema Solar,"Focado na nossa vizinhança cósmica. Explora o Sistema Solar, os diferentes corpos celestes, o papel da gravidade em manter a ordem, e as condições únicas da Terra que permitem a existência de vida.","• A Terra e o sistema solar
• Os corpos celestes
• A Terra e a vida
• A gravidade mantém tudo unido"
#003,Completa,Cosmos,A Dimensão do Universo: Expansão e Viagens no Tempo,"Abordagem dos conceitos que desafiam a imaginação: a vastidão do universo, a descoberta de que está em constante expansão, e a ideia fascinante de que olhar para as estrelas é ver a luz do passado.","• A vastidão e a escala do universo
• O universo está em expansão
• A luz das estrelas mostram-nos o passado"
#004,Completa,Jogos Olímpicos da Grécia Antiga,"Ser Atleta em Olímpia: Honra, Nudez e Glória","Focado na experiência do atleta: quem competia e quem era excluído, como competiam (nus), e o que realmente significava vencer (apenas o 1.º lugar recebia uma coroa de oliveira).","(1) Só homens gregos livres podiam competir.
(2) Mulheres não podiam assistir aos jogos.
(3) Atletas competiam nus.
(4) Havia só um vencedor por prova.
(5) O prémio era uma coroa de folhas de oliveira."
#005,Completa,Jogos Olímpicos da Grécia Antiga,Mais do que Desporto: O Festival Sagrado em Honra de Zeus,"Explora a dimensão religiosa e organizativa. A trégua sagrada que parava as guerras, a estrutura de 5 dias do evento, e o rigoroso treino de 10 meses para atletas e juízes.","(6) Os Jogos eram uma celebração religiosa a Zeus.
(7) Havia uma trégua sagrada durante os jogos.
(8) Os juízes (hellanódicas) eram treinados por 10 meses.
(9) Os atletas também treinavam 10 meses antes dos jogos
(10) Os jogos duravam 5 dias, com rituais no início e no fim."
#006,Completa,Jogos Olímpicos da Grécia Antiga,Arena dos Deuses: As Provas de Força e Brutalidade,"Uma imersão nas competições: a versatilidade do prestigiado pentatlo, a violência extrema do pancrácio e do pugilismo, e o espetáculo perigoso das corridas de bigas.","(11) O pentatlo era uma das provas mais prestigiadas.
(12) As corridas eram feitas em pistas retas.
(13) O pugilismo e o pancrácio eram extremamente violentos.
(14) Havia competições de corrida de bigas.
(15) Os donos dos cavalos ganhavam os prémios, não os condutores."
#007,Completa,Jogos Olímpicos da Grécia Antiga,O Legado de Olímpia: Mil Anos de Glória e Batota,"Aborda a incrível longevidade dos Jogos (mais de 1000 anos) e o seu impacto. Cobre a imortalização dos heróis, as curiosidades (trompetistas) e o lado negro da batota.","(16) Os Jogos começaram em 776 a.C.
(17) Duraram mais de 1.000 anos, até serem proibidos.
(18) Havia competições para trompetistas e arautos.
(19) Os nomes dos vencedores eram registados e imortalizados.
(20) Alguns atletas tentavam subornar juízes e eram severamente punidos."
#008,Completa,Sustentabilidade,O Planeta em Jogo: Fundamentos e Desafios Globais,"Compreender a base da sustentabilidade (os 3 pilares) e identificar os maiores desafios ambientais que enfrentamos (clima, biodiversidade, plásticos).","• Os Três Pilares da Sustentabilidade
• Alterações Climáticas
• A Crise da Biodiversidade
• O Problema do Plástico nos Oceanos"
#009,Completa,Sustentabilidade,As Grandes Soluções: Reinventar a Nossa Forma de Viver,"Focar nas soluções sistémicas e inovadoras (energias renováveis, economia circular, cidades sustentáveis) para construir um futuro mais positivo.","• Energias Renováveis
• Economia Circular vs. Economia Linear
• Cidades Sustentáveis"
#010,Completa,Sustentabilidade,O Poder das Nossas Escolhas: A Sustentabilidade no Dia a Dia,"Conectar os temas globais com a vida quotidiana dos alunos (moda, comida, vida digital), capacitando-os a ser agentes de mudança.","• Moda Sustentável
• Desperdício Alimentar
• A Nossa Pegada Ecológica"
